n:1 mse_avg:11.70 mse_y:16.43 mse_u:2.19 mse_v:2.31 psnr_avg:37.45 psnr_y:35.97 psnr_u:44.73 psnr_v:44.50 
n:2 mse_avg:12.53 mse_y:17.64 mse_u:2.26 mse_v:2.38 psnr_avg:37.15 psnr_y:35.67 psnr_u:44.59 psnr_v:44.36 
n:3 mse_avg:13.98 mse_y:19.76 mse_u:2.38 mse_v:2.48 psnr_avg:36.68 psnr_y:35.17 psnr_u:44.37 psnr_v:44.19 
n:4 mse_avg:14.43 mse_y:20.40 mse_u:2.45 mse_v:2.53 psnr_avg:36.54 psnr_y:35.03 psnr_u:44.24 psnr_v:44.10 
n:5 mse_avg:14.53 mse_y:20.55 mse_u:2.44 mse_v:2.53 psnr_avg:36.51 psnr_y:35.00 psnr_u:44.26 psnr_v:44.10 
n:6 mse_avg:14.04 mse_y:19.85 mse_u:2.38 mse_v:2.47 psnr_avg:36.66 psnr_y:35.15 psnr_u:44.37 psnr_v:44.20 
n:7 mse_avg:11.25 mse_y:15.73 mse_u:2.24 mse_v:2.34 psnr_avg:37.62 psnr_y:36.16 psnr_u:44.62 psnr_v:44.43 
n:8 mse_avg:12.17 mse_y:17.10 mse_u:2.23 mse_v:2.38 psnr_avg:37.28 psnr_y:35.80 psnr_u:44.64 psnr_v:44.37 
n:9 mse_avg:11.33 mse_y:15.86 mse_u:2.20 mse_v:2.35 psnr_avg:37.59 psnr_y:36.13 psnr_u:44.71 psnr_v:44.42 
n:10 mse_avg:9.40 mse_y:13.04 mse_u:2.03 mse_v:2.20 psnr_avg:38.40 psnr_y:36.98 psnr_u:45.05 psnr_v:44.70 
n:11 mse_avg:8.58 mse_y:11.85 mse_u:1.96 mse_v:2.13 psnr_avg:38.80 psnr_y:37.39 psnr_u:45.20 psnr_v:44.85 
n:12 mse_avg:7.42 mse_y:10.15 mse_u:1.88 mse_v:2.04 psnr_avg:39.43 psnr_y:38.07 psnr_u:45.39 psnr_v:45.04 
n:13 mse_avg:6.69 mse_y:9.11 mse_u:1.80 mse_v:1.94 psnr_avg:39.87 psnr_y:38.54 psnr_u:45.59 psnr_v:45.26 
n:14 mse_avg:6.55 mse_y:8.89 mse_u:1.78 mse_v:1.94 psnr_avg:39.97 psnr_y:38.64 psnr_u:45.63 psnr_v:45.26 
n:15 mse_avg:36.51 mse_y:53.30 mse_u:2.83 mse_v:3.01 psnr_avg:32.51 psnr_y:30.86 psnr_u:43.61 psnr_v:43.34 
n:16 mse_avg:36.62 mse_y:53.49 mse_u:2.81 mse_v:2.96 psnr_avg:32.49 psnr_y:30.85 psnr_u:43.64 psnr_v:43.41 
n:17 mse_avg:36.61 mse_y:53.48 mse_u:2.81 mse_v:2.94 psnr_avg:32.49 psnr_y:30.85 psnr_u:43.64 psnr_v:43.45 
n:18 mse_avg:36.30 mse_y:53.04 mse_u:2.74 mse_v:2.85 psnr_avg:32.53 psnr_y:30.88 psnr_u:43.75 psnr_v:43.58 
n:19 mse_avg:36.51 mse_y:53.38 mse_u:2.73 mse_v:2.85 psnr_avg:32.51 psnr_y:30.86 psnr_u:43.77 psnr_v:43.58 
n:20 mse_avg:36.50 mse_y:53.35 mse_u:2.72 mse_v:2.87 psnr_avg:32.51 psnr_y:30.86 psnr_u:43.78 psnr_v:43.56 
n:21 mse_avg:36.82 mse_y:53.79 mse_u:2.79 mse_v:2.94 psnr_avg:32.47 psnr_y:30.82 psnr_u:43.68 psnr_v:43.45 
n:22 mse_avg:36.69 mse_y:53.62 mse_u:2.78 mse_v:2.90 psnr_avg:32.48 psnr_y:30.84 psnr_u:43.69 psnr_v:43.50 
n:23 mse_avg:37.76 mse_y:55.12 mse_u:2.97 mse_v:3.12 psnr_avg:32.36 psnr_y:30.72 psnr_u:43.41 psnr_v:43.19 
n:24 mse_avg:37.96 mse_y:55.38 mse_u:3.03 mse_v:3.18 psnr_avg:32.34 psnr_y:30.70 psnr_u:43.32 psnr_v:43.10 
n:25 mse_avg:38.42 mse_y:56.06 mse_u:3.05 mse_v:3.22 psnr_avg:32.29 psnr_y:30.64 psnr_u:43.29 psnr_v:43.05 
n:26 mse_avg:41.03 mse_y:59.83 mse_u:3.35 mse_v:3.51 psnr_avg:32.00 psnr_y:30.36 psnr_u:42.88 psnr_v:42.68 
n:27 mse_avg:40.10 mse_y:58.50 mse_u:3.22 mse_v:3.40 psnr_avg:32.10 psnr_y:30.46 psnr_u:43.05 psnr_v:42.82 
n:28 mse_avg:41.78 mse_y:60.97 mse_u:3.33 mse_v:3.50 psnr_avg:31.92 psnr_y:30.28 psnr_u:42.91 psnr_v:42.69 
n:29 mse_avg:43.58 mse_y:63.59 mse_u:3.48 mse_v:3.64 psnr_avg:31.74 psnr_y:30.10 psnr_u:42.72 psnr_v:42.52 
n:30 mse_avg:43.18 mse_y:63.00 mse_u:3.44 mse_v:3.61 psnr_avg:31.78 psnr_y:30.14 psnr_u:42.76 psnr_v:42.55 
n:31 mse_avg:43.64 mse_y:63.70 mse_u:3.46 mse_v:3.61 psnr_avg:31.73 psnr_y:30.09 psnr_u:42.74 psnr_v:42.55 
n:32 mse_avg:44.62 mse_y:65.12 mse_u:3.54 mse_v:3.67 psnr_avg:31.64 psnr_y:29.99 psnr_u:42.64 psnr_v:42.48 
n:33 mse_avg:44.75 mse_y:65.31 mse_u:3.54 mse_v:3.70 psnr_avg:31.62 psnr_y:29.98 psnr_u:42.64 psnr_v:42.45 
n:34 mse_avg:45.45 mse_y:66.36 mse_u:3.53 mse_v:3.71 psnr_avg:31.56 psnr_y:29.91 psnr_u:42.65 psnr_v:42.44 
n:35 mse_avg:44.92 mse_y:65.59 mse_u:3.50 mse_v:3.67 psnr_avg:31.61 psnr_y:29.96 psnr_u:42.69 psnr_v:42.48 
n:36 mse_avg:46.20 mse_y:67.48 mse_u:3.58 mse_v:3.73 psnr_avg:31.48 psnr_y:29.84 psnr_u:42.60 psnr_v:42.42 
n:37 mse_avg:46.48 mse_y:67.89 mse_u:3.61 mse_v:3.76 psnr_avg:31.46 psnr_y:29.81 psnr_u:42.56 psnr_v:42.38 
n:38 mse_avg:46.74 mse_y:68.27 mse_u:3.60 mse_v:3.76 psnr_avg:31.43 psnr_y:29.79 psnr_u:42.57 psnr_v:42.38 
n:39 mse_avg:46.30 mse_y:67.64 mse_u:3.52 mse_v:3.72 psnr_avg:31.48 psnr_y:29.83 psnr_u:42.66 psnr_v:42.42 
n:40 mse_avg:45.50 mse_y:66.47 mse_u:3.46 mse_v:3.68 psnr_avg:31.55 psnr_y:29.90 psnr_u:42.75 psnr_v:42.48 
n:41 mse_avg:44.65 mse_y:65.22 mse_u:3.38 mse_v:3.63 psnr_avg:31.63 psnr_y:29.99 psnr_u:42.84 psnr_v:42.53 
n:42 mse_avg:44.30 mse_y:64.72 mse_u:3.35 mse_v:3.59 psnr_avg:31.67 psnr_y:30.02 psnr_u:42.88 psnr_v:42.58 
n:43 mse_avg:43.57 mse_y:63.62 mse_u:3.34 mse_v:3.58 psnr_avg:31.74 psnr_y:30.09 psnr_u:42.89 psnr_v:42.59 
n:44 mse_avg:43.19 mse_y:63.07 mse_u:3.32 mse_v:3.56 psnr_avg:31.78 psnr_y:30.13 psnr_u:42.91 psnr_v:42.61 
n:45 mse_avg:45.18 mse_y:66.00 mse_u:3.41 mse_v:3.63 psnr_avg:31.58 psnr_y:29.94 psnr_u:42.80 psnr_v:42.53 
n:46 mse_avg:43.48 mse_y:63.50 mse_u:3.32 mse_v:3.53 psnr_avg:31.75 psnr_y:30.10 psnr_u:42.92 psnr_v:42.65 
n:47 mse_avg:44.64 mse_y:65.22 mse_u:3.36 mse_v:3.59 psnr_avg:31.63 psnr_y:29.99 psnr_u:42.87 psnr_v:42.58 
n:48 mse_avg:45.17 mse_y:66.00 mse_u:3.40 mse_v:3.63 psnr_avg:31.58 psnr_y:29.94 psnr_u:42.81 psnr_v:42.53 
n:49 mse_avg:45.92 mse_y:67.09 mse_u:3.47 mse_v:3.69 psnr_avg:31.51 psnr_y:29.86 psnr_u:42.73 psnr_v:42.46 
n:50 mse_avg:46.24 mse_y:67.55 mse_u:3.52 mse_v:3.72 psnr_avg:31.48 psnr_y:29.83 psnr_u:42.67 psnr_v:42.43 
n:51 mse_avg:46.44 mse_y:67.86 mse_u:3.52 mse_v:3.71 psnr_avg:31.46 psnr_y:29.81 psnr_u:42.67 psnr_v:42.44 
n:52 mse_avg:46.64 mse_y:68.14 mse_u:3.54 mse_v:3.72 psnr_avg:31.44 psnr_y:29.80 psnr_u:42.64 psnr_v:42.42 
n:53 mse_avg:47.03 mse_y:68.72 mse_u:3.57 mse_v:3.75 psnr_avg:31.41 psnr_y:29.76 psnr_u:42.61 psnr_v:42.39 
n:54 mse_avg:47.09 mse_y:68.81 mse_u:3.56 mse_v:3.73 psnr_avg:31.40 psnr_y:29.75 psnr_u:42.61 psnr_v:42.41 
n:55 mse_avg:47.25 mse_y:69.03 mse_u:3.59 mse_v:3.77 psnr_avg:31.39 psnr_y:29.74 psnr_u:42.58 psnr_v:42.37 
n:56 mse_avg:47.28 mse_y:69.07 mse_u:3.61 mse_v:3.79 psnr_avg:31.38 psnr_y:29.74 psnr_u:42.55 psnr_v:42.35 
n:57 mse_avg:47.21 mse_y:68.98 mse_u:3.59 mse_v:3.77 psnr_avg:31.39 psnr_y:29.74 psnr_u:42.58 psnr_v:42.37 
n:58 mse_avg:47.10 mse_y:68.84 mse_u:3.52 mse_v:3.69 psnr_avg:31.40 psnr_y:29.75 psnr_u:42.67 psnr_v:42.46 
n:59 mse_avg:47.20 mse_y:68.98 mse_u:3.57 mse_v:3.74 psnr_avg:31.39 psnr_y:29.74 psnr_u:42.61 psnr_v:42.41 
n:60 mse_avg:47.30 mse_y:69.12 mse_u:3.58 mse_v:3.75 psnr_avg:31.38 psnr_y:29.73 psnr_u:42.60 psnr_v:42.39 
n:61 mse_avg:47.04 mse_y:68.75 mse_u:3.51 mse_v:3.72 psnr_avg:31.41 psnr_y:29.76 psnr_u:42.67 psnr_v:42.43 
n:62 mse_avg:46.94 mse_y:68.61 mse_u:3.49 mse_v:3.70 psnr_avg:31.42 psnr_y:29.77 psnr_u:42.71 psnr_v:42.45 
n:63 mse_avg:47.24 mse_y:69.04 mse_u:3.55 mse_v:3.74 psnr_avg:31.39 psnr_y:29.74 psnr_u:42.63 psnr_v:42.40 
n:64 mse_avg:47.15 mse_y:68.89 mse_u:3.56 mse_v:3.76 psnr_avg:31.40 psnr_y:29.75 psnr_u:42.61 psnr_v:42.37 
n:65 mse_avg:47.29 mse_y:69.11 mse_u:3.55 mse_v:3.75 psnr_avg:31.38 psnr_y:29.74 psnr_u:42.63 psnr_v:42.39 
n:66 mse_avg:47.37 mse_y:69.19 mse_u:3.62 mse_v:3.82 psnr_avg:31.38 psnr_y:29.73 psnr_u:42.54 psnr_v:42.31 
n:67 mse_avg:47.41 mse_y:69.24 mse_u:3.65 mse_v:3.85 psnr_avg:31.37 psnr_y:29.73 psnr_u:42.51 psnr_v:42.27 
n:68 mse_avg:47.23 mse_y:69.00 mse_u:3.56 mse_v:3.79 psnr_avg:31.39 psnr_y:29.74 psnr_u:42.61 psnr_v:42.35 
n:69 mse_avg:47.33 mse_y:69.16 mse_u:3.56 mse_v:3.80 psnr_avg:31.38 psnr_y:29.73 psnr_u:42.61 psnr_v:42.33 
n:70 mse_avg:47.52 mse_y:69.44 mse_u:3.56 mse_v:3.79 psnr_avg:31.36 psnr_y:29.71 psnr_u:42.61 psnr_v:42.34 
n:71 mse_avg:47.49 mse_y:69.40 mse_u:3.57 mse_v:3.80 psnr_avg:31.36 psnr_y:29.72 psnr_u:42.61 psnr_v:42.34 
n:72 mse_avg:15.29 mse_y:21.68 mse_u:2.44 mse_v:2.61 psnr_avg:36.29 psnr_y:34.77 psnr_u:44.26 psnr_v:43.97 
n:73 mse_avg:15.31 mse_y:21.72 mse_u:2.43 mse_v:2.59 psnr_avg:36.28 psnr_y:34.76 psnr_u:44.28 psnr_v:44.00 
n:74 mse_avg:15.27 mse_y:21.64 mse_u:2.43 mse_v:2.59 psnr_avg:36.29 psnr_y:34.78 psnr_u:44.27 psnr_v:43.99 
n:75 mse_avg:14.75 mse_y:20.89 mse_u:2.39 mse_v:2.54 psnr_avg:36.44 psnr_y:34.93 psnr_u:44.35 psnr_v:44.09 
n:76 mse_avg:14.10 mse_y:19.90 mse_u:2.45 mse_v:2.59 psnr_avg:36.64 psnr_y:35.14 psnr_u:44.25 psnr_v:44.00 
n:77 mse_avg:13.93 mse_y:19.69 mse_u:2.35 mse_v:2.50 psnr_avg:36.69 psnr_y:35.19 psnr_u:44.42 psnr_v:44.15 
n:78 mse_avg:13.96 mse_y:19.73 mse_u:2.34 mse_v:2.48 psnr_avg:36.68 psnr_y:35.18 psnr_u:44.44 psnr_v:44.18 
n:79 mse_avg:13.98 mse_y:19.75 mse_u:2.36 mse_v:2.50 psnr_avg:36.68 psnr_y:35.17 psnr_u:44.40 psnr_v:44.15 
n:80 mse_avg:13.31 mse_y:18.77 mse_u:2.30 mse_v:2.47 psnr_avg:36.89 psnr_y:35.40 psnr_u:44.50 psnr_v:44.21 
n:81 mse_avg:31.88 mse_y:46.34 mse_u:2.84 mse_v:3.07 psnr_avg:33.10 psnr_y:31.47 psnr_u:43.60 psnr_v:43.26 
n:82 mse_avg:32.07 mse_y:46.62 mse_u:2.88 mse_v:3.07 psnr_avg:33.07 psnr_y:31.45 psnr_u:43.54 psnr_v:43.25 
n:83 mse_avg:32.23 mse_y:46.85 mse_u:2.87 mse_v:3.09 psnr_avg:33.05 psnr_y:31.42 psnr_u:43.54 psnr_v:43.23 
n:84 mse_avg:32.06 mse_y:46.62 mse_u:2.84 mse_v:3.07 psnr_avg:33.07 psnr_y:31.45 psnr_u:43.60 psnr_v:43.26 
n:85 mse_avg:32.41 mse_y:47.13 mse_u:2.86 mse_v:3.07 psnr_avg:33.02 psnr_y:31.40 psnr_u:43.57 psnr_v:43.26 
n:86 mse_avg:33.09 mse_y:48.12 mse_u:2.92 mse_v:3.13 psnr_avg:32.93 psnr_y:31.31 psnr_u:43.48 psnr_v:43.17 
n:87 mse_avg:32.69 mse_y:47.53 mse_u:2.89 mse_v:3.12 psnr_avg:32.99 psnr_y:31.36 psnr_u:43.52 psnr_v:43.19 
n:88 mse_avg:32.77 mse_y:47.65 mse_u:2.90 mse_v:3.12 psnr_avg:32.98 psnr_y:31.35 psnr_u:43.51 psnr_v:43.19 
n:89 mse_avg:32.45 mse_y:47.18 mse_u:2.87 mse_v:3.09 psnr_avg:33.02 psnr_y:31.39 psnr_u:43.55 psnr_v:43.23 
n:90 mse_avg:32.59 mse_y:47.41 mse_u:2.85 mse_v:3.08 psnr_avg:33.00 psnr_y:31.37 psnr_u:43.58 psnr_v:43.25 
n:91 mse_avg:33.27 mse_y:48.39 mse_u:2.92 mse_v:3.13 psnr_avg:32.91 psnr_y:31.28 psnr_u:43.48 psnr_v:43.18 
n:92 mse_avg:33.43 mse_y:48.63 mse_u:2.93 mse_v:3.12 psnr_avg:32.89 psnr_y:31.26 psnr_u:43.46 psnr_v:43.18 
n:93 mse_avg:33.78 mse_y:49.14 mse_u:2.97 mse_v:3.18 psnr_avg:32.84 psnr_y:31.22 psnr_u:43.41 psnr_v:43.11 
n:94 mse_avg:34.16 mse_y:49.72 mse_u:2.96 mse_v:3.14 psnr_avg:32.80 psnr_y:31.17 psnr_u:43.42 psnr_v:43.16 
n:95 mse_avg:34.18 mse_y:49.77 mse_u:2.91 mse_v:3.09 psnr_avg:32.79 psnr_y:31.16 psnr_u:43.49 psnr_v:43.23 
n:96 mse_avg:34.23 mse_y:49.82 mse_u:2.96 mse_v:3.16 psnr_avg:32.79 psnr_y:31.16 psnr_u:43.41 psnr_v:43.13 
n:97 mse_avg:33.97 mse_y:49.43 mse_u:2.94 mse_v:3.18 psnr_avg:32.82 psnr_y:31.19 psnr_u:43.44 psnr_v:43.11 
n:98 mse_avg:33.79 mse_y:49.16 mse_u:2.94 mse_v:3.16 psnr_avg:32.84 psnr_y:31.21 psnr_u:43.45 psnr_v:43.14 
n:99 mse_avg:23.44 mse_y:34.30 mse_u:1.55 mse_v:1.88 psnr_avg:34.43 psnr_y:32.78 psnr_u:46.22 psnr_v:45.40 
n:100 mse_avg:23.51 mse_y:34.40 mse_u:1.56 mse_v:1.90 psnr_avg:34.42 psnr_y:32.77 psnr_u:46.20 psnr_v:45.34 
